Five Years in a Persian Town,Napier Malcolm,56469
Nunnery life in the Church of England,Sister Mary Agnes,56468
A Book of Distinctive Interiors,Various,56467
Poems,Robert Bridges,56466
An Act in a Backwater,E. F. Benson                                  ,56465
Turkish Literature,Various                                          ,56464
Bacon's Essays and Wisdom of the Ancients,Francis Bacon,56463
Faery Lands of the South Seas,James Norman Hall,56457
Three Men,Maxime Gorky,56456
Rebellion,Joseph Medill Patterson,56455
The Egregious English,Angus McNeill,56453
Pleiades Club,Jeff W. Hayes,56450
Purcell Ode and Other Poems,Robert Bridges                          ,56448
The Tunnel,Dorothy M. Richardson                                    ,56447
The Status of the Jews in Egypt,W. M. Flinders Petrie,56444
Seventeen Years in the Underworld,Wellington Scott,56443
Romantic Cities of Provence,Mona Caird,56442
Analysis of the Phenomena of the Human Mind,James Mill,56441
Physiological Researches on Life and Death,Xavier Bichat,56440
Our Sentimental Journey Through France and Italy,Joseph Pennell,56438
Rice Papers,H. L. Norris,56437
The Great Valley,Edgar Lee Masters                                  ,56436
The Peacock of Jewels,Fergus Hume,56432
The Race of the Swift,Edwin Carlile Litsey,56430
Gray Days and Gold,William Winter,56429
Animal Locomotion,J. Bell Pettigrew,56427
The Mountains of Fears,Henry C. Rowland,56425
Shores of the Polar Sea,Edward L. Moss,56424
Pleiades Club Year Book 1910,The N. Y. Pleiades Club,56423
The Young Man and Journalism,Chester S. Lord,56419
New York Nocturnes and Other Poems,Charles G. D. Roberts,56418
John Baring's House,Elsie Singmaster,56416
Making the Nine,Albertus T. Dudley,56415
A Candid History of the Jesuits,Joseph McCabe,56414
Seventeen Years in Paris,H. E. Noyes,56412
St. Andrews Ghost Stories,William Thomas Linskill,56411
Ruby,Molly E. Jamieson,56410
The Mail Carrier,Harry Castlemon,56408
"Poetical Works of Robert Bridges, Vol. 5",Robert Bridges,56406
A Book of Gems,Benjamin Franklin,56404
The Future of the Women's Movement,Helena M. Swanwick,56403
"Brazil, the River Plate, and the Falkland Islands",William Hadfield,56402
Fairy Tales from Gold Lands,May Wentworth,56401
Memoirs of John Abernethy,George Macilwain,56400
Birds of Britain,J. Lewis Bonhote,56397
Musketry,Anonymous,56395
Sailing,E. F. Knight                                                ,56394
Jules of the Great Heart,Lawrence Mott,56389
Frederick the Great,W. F. Reddaway,56387
"The Catholic World, Vol. 23, April, 1876-September, 1876",Various,56386
Jonah's Luck,Fergus Hume,56385
"Guy Harris, the Runaway",Harry Castlemon,56381
Doctor Mead's Short discourse explain'd,Anonymous,56380
Spain From Within,Rafael Shaw,56379
Sir P.S.: His Astrophel and Stella,Philip Sidney                    ,56375
"The Flower Of The Flock, Volume 3 of 3",Pierce Egan,56373
"The Flower Of The Flock, Volume 2 of 3",Pierce Egan,56372
"The Flower Of The Flock, Volume 1 of 3",Pierce Egan,56371
"Alhalla, or the Lord of Talladega",Henry Rowe Schoolcraft,56368
History of the Transformer,F. Uppenborn                             ,56365
The Flight of Georgiana,Robert Neilson Stephens,56364
An Ocean Tragedy,William Clark Russell,56363
A Troublesome Flock,Elizabeth F. Guptill                            ,56362
How The Nations Waged War,John McFarland Kennedy,56360
A Dark Chapter from New Zealand History,James Hawthorne,56359
The Alps,Arnold Henry Moore Lunn,56358
The Laughing Willow,Oliver Herford,56357
The Scarlet Bat,Fergus Hume,56356
Pyrometry,Chas. R. Darling,56353
Mastro da Ballo,Ercole Santucci,56352
Parizina,George Gordon Byron,56351
Goodbird the Indian,Edward Goodbird and Gilbert L. Wilson,56349
From Dublin to Chicago,George A. Birmingham,56348
A Book of American Explorers,Thomas Wentworth Higginson,56346
"Pigments, Paint and Painting",George Terry                           ,56344
"History of Greece, Volume 1 of 12",George Grote                     ,56342
"American Missionary, Volume 35, No. 12, December, 1881",Various,56341
Tower of Ivory,Gertrude Atherton,56340
"Pumps and Hydraulics, Part 1 of 2",William Rogers          ,56339
Ruth's Marriage in Mars,Mrs. Charles Wilder Glass,56338
Catcher Craig,Christy Mathewson,56337
Susan Proudleigh,Herbert de Lisser,56335
List of Post Offices in Canada 1866,Postmaster General of Canada,56334
