title,author,number
Where There\'s A Will,Mary Roberts Rinehart,330
Island Nights\' Entertainments,Robert Louis Stevenson,329
A Heap o\' Livin\',Edgar A. Guest,328
The Princess Aline,Richard Harding Davis,327
Steep Trails,John Muir,326
Phantastes,George MacDonald,325
A Knight of the Cumberland,John Fox Jr.,324
Verses 1889-1896,Rudyard Kipling,323
St. Ives,Robert Louis Stevenson,322
Moran of the Lady Letty,Frank Norris,321
La vida de Lazarillo de tormes y de sus fortunas y adversidades,,320
The Ways of Men,Eliot Gregory,319
John Barleycorn,Jack London,318
"The Culprit Fay, and Other Poems",Joseph Rodman Drake,317
The Golden Road,Lucy Maud Montgomery,316
Rhymes of a Red Cross Man,Robert W. Service,315
The Children of the Night,Edwin Arlington Robinson,313
Young Adventure,Stephen Vincent Benet,312
Bunner Sisters,Edith Wharton,311
Before Adam,Jack London,310
Rhymes of a Rolling Stone,Robert W. Service,309
Three Men in a Boat,Jerome K. Jerome,308
Three Elephant Power,Andrew Barton \'Banjo\' Paterson,307
Early Short Fiction of Edith Wharton,Part 2 of 10,306
"The Count\'s Millions, Vol. 1",Emile Gaboriau,305
Rio Grande\'s Last Race and Other Verses,Andrew Barton \'Banjo\' Paterson,304
HomeBrew HomePages Put YOU on the World Wide Web,Anonymous 303C,NaN
The Fibonacci Number Series,Michael Husted 302C,NaN
The Ballad of Reading Gaol,Oscar Wilde,301
United States Declaration of Independence,Thomas Jefferson,300
Tales From Two Hemispheres,Hjalmar Hjorth Boysen,299
The Market-Place,Harold Frederic,298
The Flirt,Booth Tarkington,297
The Cash Boy,Horatio Alger Jr,296
"Early Short Fiction of Edith Wharton, Part 1 of 10",Edith Wharton,295
The Captain of the Pole-Star and Other Tales,Arthur Conan Doyle,294
Paul Prescott\'s Charge,Horatio Alger,293
"Beauty and The Beast, and Tales From Home",Bayard Taylor,292
The Golden Age,Kenneth Grahame,291
The Stark Munro Letters                                                    290\r\n [Subtitle: Being series of twelve letters writte,"J. Stark Munro,",NaN
The Wind in the Willows,Kenneth Grahame,289
The Certain Hour,James Branch Cabell,288
Remember the Alamo,Amelia E. Barr,287
Laddie,Gene Stratton Porter,286
The Lost Continent,C. J. Cutcliffe Hyne,285
House of Mirth,Edith Wharton,284
The Reef,Edith Wharton,283
Eothen,A. W. Kinglake,282
Father Damien,Robert Louis Stevenson,281
Records of a Family of Engineers,Robert Louis Stevenson,280
"Photos and Maps of the Trinity Atomic Test Site,                           279\r\",the United States Army,NaN
The Trinity Atomic test Site,the White Sands Missile Range,278
The Trinity Atomic Test Site,The National Atomic Museum,277
"One Hundred Fourth Symphony, in D-major",Franz Josef Haydn 276C,NaN
The Confession of Faith,Various,275
Martin Luther\'s 95 Theses,Martin Luther,274
The Smalcald Articles,Martin Luther,273
An Open Letter on Translating,Martin Luther,272
Black Beauty,Anna Sewell,271
Dream Days,Kenneth Grahame,270
Beasts and Super-Beasts,Saki,269
The Octopus,Frank Norris,268
The Touchstone,Edith Wharton,267
Confessio Amantis,John Gower,266
The Life and Death of Cormac the Skald,Unknown,265
Main Street and Other Poems,Alfred Joyce Kilmer,264
Trees and Other Poems,Joyce Kilmer,263
The Collected Poems of Rupert Brooke,Rupert Brooke,262
A Dome of Many-Coloured Glass,Amy Lowell,261
Introduction to Robert Browning,Hiram Corson,260
Ballads of a Cheechako,Robert W. Service,259
Poems,Adam Lindsay Gordon,258
Troilus and Criseyde,Geoffrey Chaucer,257
Motion Picture of Rotating Earth,the U. S. Government,256
"QREAD, an Etext Viewer for Windows",Dan Scavelle 255C,NaN
The Second Story of Meno,Unknown 254C,NaN
"The Universal Copyright Convention of 1988,                                253\r\",The Coalition for Networked Information,NaN
The United States Copyright Act of 1976,Title 17 U.S.C.,252
"The United States Congressional Address Book of 1995,                      251\r\",The Government of the United States,NaN
A Brief History of the Internet,Michael Hart 250C,NaN
French Cave Paintings,Jean Clottes 249C,NaN
Webster\'s Unabridged Dictionary,Noah Webster,248
Webster\'s Unabridged Dictionary,Noah Webster,247
Rubaiyat of Omar Khayyam,Omar Khayyam,246
"Life On The Mississippi, Complete",Mark Twain,245
A Study In Scarlet,Arthur Conan Doyle,244
The Forged Coupon and Other Stories,Leo Tolstoy,243
