La Batalo de l' Vivo,Charles Dickens,24501,http://www.gutenberg.org/files/24501/24501.txt
A Christmas Carol,Charles Dickens,24022,http://www.gutenberg.org/files/24022/24022.txt
Captain Boldheart & the Latin-Grammar Master,Charles Dickens,23765,http://www.gutenberg.org/files/23765/23765.txt
The Trial of William Tinkling,Charles Dickens,23452,http://www.gutenberg.org/files/23452/23452.txt
Cecily Parsley's Nursery Rhymes,Beatrix Potter,23350,http://www.gutenberg.org/files/23350/23350.txt
The Magic Fishbone,Charles Dickens,23344,http://www.gutenberg.org/files/23344/23344.txt
One Day At Arle,Frances Hodgson Burnett,23330,http://www.gutenberg.org/files/23330/23330.txt
"""Le Monsieur De La Petite Dame""",Frances Hodgson Burnett,23329,http://www.gutenberg.org/files/23329/23329.txt
Esmeralda,Frances Hodgson Burnett,23328,http://www.gutenberg.org/files/23328/23328.txt
Lodusky,Frances Hodgson Burnett,23327,http://www.gutenberg.org/files/23327/23327.txt
Mere Girauds Little Daughter,Frances Hodgson Burnett,23326,http://www.gutenberg.org/files/23326/23326.txt
"""Seth""",Frances Hodgson Burnett,23325,http://www.gutenberg.org/files/23325/23325.txt
"""Surly Tim""",Frances Hodgson Burnett,23324,http://www.gutenberg.org/files/23324/23324.txt
For Love of the King,Oscar Wilde,23229,http://www.gutenberg.org/files/23229/23229.txt
Der Weihnachtsabend,Charles Dickens,22465,http://www.gutenberg.org/cache/epub/22465/pg22465.txt
The Acorn-Planter,Jack London,22104,http://www.gutenberg.org/files/22104/22104.txt
A Son Of The Sun,Jack London,21971,http://www.gutenberg.org/files/21971/21971.txt
The Scarlet Plague,Jack London,21970,http://www.gutenberg.org/files/21970/21970.txt
The Outcry,Henry James,21969,http://www.gutenberg.org/files/21969/21969.txt
The Finer Grain,Henry James,21968,http://www.gutenberg.org/files/21968/21968.txt
Theft,Jack London,21936,http://www.gutenberg.org/files/21936/21936.txt
Embarrassments,Henry James,21932,http://www.gutenberg.org/files/21932/21932-0.txt
Sense and Sensibility,Jane Austen,21839,http://www.gutenberg.org/files/21839/21839.txt
Four Meetings,Henry James,21773,http://www.gutenberg.org/files/21773/21773.txt
The Path Of Duty,Henry James,21772,http://www.gutenberg.org/files/21772/21772.txt
Georgina's Reasons,Henry James,21771,http://www.gutenberg.org/files/21771/21771.txt
The Author Of Beltraffio,Henry James,21770,http://www.gutenberg.org/files/21770/21770.txt
Songs Of The Road,Arthur Conan Doyle,21769,http://www.gutenberg.org/files/21769/21769.txt
How Lisa Loved the King,George Eliot,20813,http://www.gutenberg.org/files/20813/20813.txt
The Cricket on the Hearth,Charles Dickens,20795,http://www.gutenberg.org/files/20795/20795.txt
Derniers essais de litterature: aout 1887-1890,Oscar Wilde,20234,http://www.gutenberg.org/files/20234/20234-0.txt
The Tragic Muse,Henry James,20085,http://www.gutenberg.org/files/20085/20085.txt
Chapters from My Autobiography,Mark Twain,19987,http://www.gutenberg.org/files/19987/19987.txt
The Tale of Mr. Tod,Beatrix Potter,19805,http://www.gutenberg.org/files/19805/19805.txt
Alice's Abenteuer im Wunderland,Lewis Carroll,19778,http://www.gutenberg.org/cache/epub/19778/pg19778.txt
The Waif Woman,Robert Louis Stevenson,19750,http://www.gutenberg.org/files/19750/19750.txt
A Child's Garden of Verses,Robert Louis Stevenson,19722,http://www.gutenberg.org/files/19722/19722.txt
"The Bostonians, Vol. II (of II)",Henry James,19718,http://www.gutenberg.org/files/19718/19718.txt
A Christmas Carol,Charles Dickens,19337,http://www.gutenberg.org/files/19337/19337.txt
Alice's Adventures Under Ground,Lewis Carroll,19002,http://www.gutenberg.org/files/19002/19002.txt
Robin,Frances Hodgson Burnett,18945,http://www.gutenberg.org/files/18945/18945.txt
Alec Forbes of Howglen,George MacDonald,18810,http://www.gutenberg.org/files/18810/18810.txt
Micah Clarke - Tome III,Arthur Conan Doyle,18718,http://www.gutenberg.org/cache/epub/18718/pg18718.txt
David Copperfield II,Charles Dickens,18201,http://www.gutenberg.org/cache/epub/18201/pg18201.txt
David Copperfield I,Charles Dickens,18186,http://www.gutenberg.org/cache/epub/18186/pg18186.txt
Stories of Ships and the Sea,Jack London,18062,http://www.gutenberg.org/files/18062/18062.txt
Mark Twain: Tri Noveloj,Mark Twain,17945,http://www.gutenberg.org/files/17945/17945.txt
"Barnab, Rudge, Tome II",Charles Dickens,17880,http://www.gutenberg.org/cache/epub/17880/pg17880.txt
Scenes of Clerical Life,George Eliot,17780,http://www.gutenberg.org/files/17780/17780.txt
Les grandes esp?nces,Charles Dickens,17565,http://www.gutenberg.org/cache/epub/17565/pg17565.txt
La Aventuroj de Alicio en Mirlando,Lewis Carroll,17482,http://www.gutenberg.org/files/17482/17482.txt
The Cabman's Story,Arthur Conan Doyle,17398,http://www.gutenberg.org/files/17398/17398.txt
The Secret Garden,Frances Hodgson Burnett,17396,http://www.gutenberg.org/files/17396/17396.txt
Emily Fox-Seton,Frances Hodgson Burnett,17226,http://www.gutenberg.org/files/17226/17226.txt
The Tale of Mrs. Tittlemouse,Beatrix Potter,17089,http://www.gutenberg.org/files/17089/17089.txt
